  8.27750E-01 
 
  1.99146E+00  2.25513E+00  2.32691E+00  2.36544E+00  2.40806E+00
 
  5.16532E-01  6.99576E-01  8.11503E-01  8.99906E-01  9.67300E-01
  3.70481E-01  6.11799E-01  7.63020E-01  8.72539E-01  9.61285E-01
  3.80010E-01  6.18834E-01  7.63825E-01  8.75375E-01  9.61256E-01
  3.57688E-01  5.95520E-01  7.51752E-01  8.59766E-01  9.57489E-01
  3.48497E-01  5.17881E-01  6.53833E-01  7.79846E-01  9.23956E-01
 
 -9.54674E-01 -5.93616E-01 -4.55439E-03  6.11607E-01  9.54292E-01
 -9.39719E-01 -5.34726E-01  7.70975E-02  5.91124E-01  9.38723E-01
 -9.47749E-01 -5.99118E-01 -5.34413E-03  5.58645E-01  9.59176E-01
 -9.52932E-01 -5.09963E-01  1.11845E-01  6.68895E-01  9.59592E-01
 -9.63812E-01 -6.32861E-01  2.84474E-02  6.49311E-01  9.65024E-01
 -9.49486E-01 -5.27460E-01  4.71202E-02  5.40823E-01  9.43092E-01
 -9.18789E-01 -5.34890E-01  3.87104E-03  5.97719E-01  9.43635E-01
 -9.35546E-01 -5.66353E-01 -6.17420E-02  5.65376E-01  9.28863E-01
 -9.39133E-01 -5.88361E-01  4.03247E-02  5.36441E-01  9.41553E-01
 -9.42917E-01 -5.66390E-01  4.88304E-03  5.72368E-01  9.58254E-01
 -9.59566E-01 -6.35221E-01 -7.50576E-02  5.72627E-01  9.59374E-01
 -9.43053E-01 -6.23133E-01 -8.35145E-02  5.13894E-01  9.33565E-01
 -9.42753E-01 -6.40605E-01 -1.50300E-02  5.51493E-01  9.32335E-01
 -9.28625E-01 -5.03451E-01  3.69856E-02  6.04412E-01  9.51354E-01
 -9.47567E-01 -5.75171E-01  6.78900E-02  6.17675E-01  9.61149E-01
 -9.42125E-01 -6.25972E-01 -6.74072E-02  5.10579E-01  9.26111E-01
 -9.24288E-01 -5.62514E-01 -6.67559E-02  5.49679E-01  9.57450E-01
 -9.45958E-01 -5.88903E-01  6.07203E-02  5.98492E-01  9.45981E-01
 -9.64714E-01 -6.17340E-01 -2.49212E-02  5.61052E-01  9.49261E-01
 -9.59291E-01 -6.47473E-01 -8.40439E-02  4.58677E-01  9.33637E-01
 -9.43142E-01 -5.25077E-01  4.79891E-02  6.22436E-01  9.53027E-01
 -9.43214E-01 -5.90395E-01  2.32011E-02  5.42675E-01  9.35411E-01
 -9.40994E-01 -4.99927E-01  7.81558E-02  6.19613E-01  9.44418E-01
 -9.35018E-01 -5.38589E-01  8.60652E-02  6.47157E-01  9.51505E-01
 -9.49873E-01 -5.38587E-01  8.93784E-02  6.39298E-01  9.66431E-01

  8.41850E-01 
 
  2.02710E+00  2.27014E+00  2.33413E+00  2.37272E+00  2.41752E+00
 
  4.92879E-01  6.90262E-01  8.10100E-01  8.95603E-01  9.68495E-01
  3.49827E-01  6.15765E-01  7.54176E-01  8.68686E-01  9.58867E-01
  3.53473E-01  5.90937E-01  7.43857E-01  8.63381E-01  9.59851E-01
  3.60316E-01  5.88889E-01  7.27762E-01  8.47416E-01  9.51566E-01
  3.28128E-01  5.01751E-01  6.42434E-01  7.76016E-01  9.19094E-01
 
 -9.23179E-01 -5.18565E-01  6.50574E-02  6.28299E-01  9.61849E-01
 -9.37487E-01 -6.00910E-01 -3.39575E-02  5.28112E-01  9.59070E-01
 -9.28730E-01 -5.39779E-01  1.23971E-01  7.06712E-01  9.75209E-01
 -9.47518E-01 -5.24254E-01  3.05197E-02  6.40543E-01  9.62190E-01
 -9.25963E-01 -5.93253E-01 -3.16017E-02  5.97654E-01  9.40175E-01
 -9.34155E-01 -5.27287E-01  4.73474E-02  5.95116E-01  9.41175E-01
 -9.42454E-01 -5.99649E-01 -6.52319E-02  6.57177E-01  9.62226E-01
 -9.35237E-01 -5.48276E-01 -1.82800E-02  5.59975E-01  9.46839E-01
 -9.32836E-01 -5.82272E-01  1.88539E-03  6.29455E-01  9.30411E-01
 -9.50893E-01 -5.73580E-01  5.43134E-02  5.23626E-01  9.52592E-01
 -9.21544E-01 -5.40514E-01  6.44568E-02  6.58751E-01  9.59452E-01
 -9.42921E-01 -4.95754E-01  1.27172E-01  5.85376E-01  9.59638E-01
 -9.64020E-01 -6.74933E-01 -3.19060E-02  5.62677E-01  9.44101E-01
 -9.48704E-01 -5.15269E-01  1.87171E-01  6.18704E-01  9.59563E-01
 -9.47649E-01 -5.55305E-01  3.80163E-02  6.15804E-01  9.53721E-01
 -7.28021E-01  2.69913E-02  5.02207E-01  8.49334E-01  9.79212E-01
 -8.77975E-01 -2.94057E-01  2.25631E-01  7.59041E-01  9.72652E-01
 -9.19285E-01 -4.09462E-01  2.28313E-01  6.96194E-01  9.65545E-01
 -9.04761E-01 -3.94783E-01  1.95861E-01  6.50418E-01  9.57512E-01
 -8.97654E-01 -4.64357E-01  1.72081E-01  6.67940E-01  9.71549E-01
 -3.04408E-01  3.11727E-01  6.61309E-01  8.62136E-01  9.87635E-01
 -4.23637E-01  2.56388E-01  6.35216E-01  8.59649E-01  9.86496E-01
 -5.41232E-01  1.66229E-01  6.08222E-01  8.81781E-01  9.87232E-01
 -7.49304E-01  4.13052E-02  5.85728E-01  8.57754E-01  9.86217E-01
 -8.32449E-01 -2.87412E-01  3.44962E-01  7.59200E-01  9.74044E-01

  8.89150E-01 
 
  2.11177E+00  2.29730E+00  2.35201E+00  2.39011E+00  2.43733E+00
 
  4.26403E-01  6.69928E-01  7.92430E-01  8.88187E-01  9.63685E-01
  3.16996E-01  5.81057E-01  7.34891E-01  8.59896E-01  9.57884E-01
  3.34473E-01  5.84848E-01  7.30446E-01  8.56055E-01  9.57574E-01
  3.15229E-01  5.37205E-01  6.76910E-01  8.02893E-01  9.28842E-01
  2.73483E-01  4.43681E-01  5.80253E-01  7.35529E-01  8.92902E-01
 
 -9.01489E-01 -4.84062E-01  1.43418E-01  6.90155E-01  9.70508E-01
 -9.21509E-01 -4.91653E-01  8.72683E-02  6.20871E-01  9.48320E-01
 -9.37443E-01 -5.92281E-01 -1.88021E-02  6.28560E-01  9.39083E-01
 -9.42391E-01 -5.69418E-01 -5.58015E-02  5.27393E-01  9.40639E-01
 -9.58179E-01 -5.43782E-01 -3.32677E-02  5.42593E-01  9.41954E-01
 -8.22579E-01 -1.90531E-01  3.59603E-01  7.53464E-01  9.73477E-01
 -9.56569E-01 -6.45233E-01 -1.25493E-01  4.91881E-01  9.29818E-01
