 rn:  h -> be
  4.32000E-03  1.08000E-02  4.54182E-02  8.85455E-02  1.56436E-01  2.28764E-01
  2.94364E-01  3.31673E-01  3.54473E-01  3.73855E-01  3.85309E-01  3.79600E-01
  3.75636E-01  3.60909E-01  3.53127E-01  3.35309E-01  3.17891E-01  3.02509E-01
  2.88727E-01  2.72945E-01  2.60109E-01  2.43273E-01  2.26618E-01  2.12691E-01
  1.93782E-01  1.78398E-01  1.62404E-01  1.42099E-01  1.22142E-01  1.02452E-01
  8.44851E-02  6.81534E-02  5.37999E-02  4.15732E-02  3.14598E-02  2.33219E-02
  1.69524E-02  1.20920E-02  8.47207E-03  5.84177E-03  3.97724E-03  2.69992E-03
  1.82857E-03  1.24046E-03  8.44846E-04  5.82232E-04  3.89949E-04  2.87794E-04
 rn:  h -> c
  3.80000E-03  1.67200E-02  6.74545E-02  1.32073E-01  2.13527E-01  2.89200E-01
  3.45091E-01  3.90327E-01  4.24400E-01  4.44182E-01  4.55055E-01  4.57855E-01
  4.49491E-01  4.34073E-01  4.24655E-01  4.11564E-01  3.98655E-01  3.78073E-01
  3.58945E-01  3.41236E-01  3.21345E-01  3.09818E-01  2.98255E-01  2.77382E-01
  2.57818E-01  2.33491E-01  2.15582E-01  1.91818E-01  1.63210E-01  1.33900E-01
  1.10947E-01  9.20012E-02  7.54928E-02  6.01971E-02  4.63063E-02  3.41398E-02
  2.39731E-02  1.60233E-02  1.04338E-02  6.88070E-03  4.99419E-03  3.38954E-03
  2.84915E-03  2.61172E-03  2.61172E-03  2.61172E-03  2.61172E-03  2.61172E-03
 rn:  h -> al
  5.56000E-03  4.31200E-02  1.53309E-01  2.60873E-01  3.53236E-01  4.21600E-01
  4.66218E-01  4.96909E-01  5.16255E-01  5.21636E-01  5.21527E-01  5.17055E-01
  5.14364E-01  5.18036E-01  5.17055E-01  5.12436E-01  5.02436E-01  4.85891E-01
  4.65200E-01  4.54218E-01  4.52727E-01  4.38509E-01  4.19818E-01  3.98291E-01
  3.75600E-01  3.49345E-01  3.15473E-01  2.77873E-01  2.36406E-01  2.00082E-01
  1.70495E-01  1.48671E-01  1.29634E-01  1.11865E-01  9.47277E-02  7.86849E-02
  6.40961E-02  5.11976E-02  4.01000E-02  3.08299E-02  2.33109E-02  1.74536E-02
  1.29234E-02  9.48000E-03  6.89793E-03  5.00613E-03  3.51325E-03  2.63296E-03
 rn:  h -> si
  7.56000E-03  4.80800E-02  1.54291E-01  2.63055E-01  3.49527E-01  4.16582E-01
  4.64618E-01  4.85600E-01  5.05273E-01  5.12909E-01  5.15673E-01  5.14473E-01
  5.15527E-01  5.05455E-01  5.05055E-01  5.01273E-01  4.98691E-01  4.89782E-01
  4.79236E-01  4.65927E-01  4.52327E-01  4.37709E-01  4.20509E-01  3.95673E-01
  3.68291E-01  3.44218E-01  3.14208E-01  2.93459E-01  2.72114E-01  2.48743E-01
  2.12095E-01  1.85075E-01  1.59991E-01  1.34376E-01  1.13163E-01  9.38368E-02
  7.56970E-02  6.06454E-02  4.77348E-02  3.66259E-02  2.78657E-02  2.09726E-02
  1.54713E-02  1.13465E-02  8.22084E-03  5.86056E-03  4.00544E-03  2.93917E-03
 rn:  h -> v
  8.72000E-03  7.00000E-02  2.00436E-01  3.13564E-01  4.04873E-01  4.70800E-01
  5.19273E-01  5.56618E-01  5.77564E-01  5.88727E-01  5.88073E-01  5.95345E-01
  5.91200E-01  5.83091E-01  5.81818E-01  5.73273E-01  5.70436E-01  5.56909E-01
  5.45818E-01  5.24291E-01  5.17236E-01  5.15236E-01  5.06364E-01  4.85855E-01
  4.66691E-01  4.45418E-01  4.23444E-01  4.05304E-01  3.82800E-01  3.53204E-01
  2.98275E-01  2.63315E-01  2.32177E-01  1.99150E-01  1.73382E-01  1.49331E-01
  1.25284E-01  1.04942E-01  8.65153E-02  6.95721E-02  5.55413E-02  4.38259E-02
  3.38688E-02  2.59514E-02  1.95815E-02  1.44888E-02  1.02980E-02  7.69361E-03
 rn:  h -> fe
  8.52000E-03  6.74400E-02  2.07709E-01  3.21455E-01  4.17636E-01  4.82873E-01
  5.36436E-01  5.71636E-01  5.94582E-01  6.05782E-01  6.19018E-01  6.19964E-01
  6.21491E-01  6.16364E-01  6.04945E-01  5.96473E-01  5.89709E-01  5.81891E-01
  5.67164E-01  5.52473E-01  5.44800E-01  5.38000E-01  5.28582E-01  5.14982E-01
  4.93673E-01  4.74509E-01  4.54473E-01  4.25327E-01  3.91117E-01  3.58638E-01
  3.30629E-01  3.05228E-01  2.80234E-01  2.54803E-01  2.28890E-01  2.02695E-01
  1.76437E-01  1.50347E-01  1.24664E-01  9.83334E-02  7.35747E-02  4.98571E-02
  4.08440E-02  3.74403E-02  3.74403E-02  3.74403E-02  3.74403E-02  3.74403E-02
 rn:  h -> cu
  7.80000E-03  6.66400E-02  2.01636E-01  3.21236E-01  4.19055E-01  4.96327E-01
  5.47636E-01  5.79491E-01  6.08400E-01  6.17964E-01  6.34764E-01  6.33855E-01
  6.23964E-01  6.17491E-01  6.07564E-01  6.01345E-01  5.93782E-01  5.94291E-01
  5.84255E-01  5.80000E-01  5.61309E-01  5.45345E-01  5.37055E-01  5.25345E-01
  5.08436E-01  4.91891E-01  4.66281E-01  4.47115E-01  4.25170E-01  3.99044E-01
  3.53388E-01  3.21954E-01  2.92498E-01  2.60682E-01  2.33413E-01  2.06626E-01
  1.79215E-01  1.54205E-01  1.30539E-01  1.08243E-01  8.87098E-02  7.18541E-02
  5.72016E-02  4.50000E-02  3.48660E-02  2.65927E-02  1.95808E-02  1.49762E-02
 rn:  h -> mo
  8.76000E-03  7.53600E-02  2.11564E-01  3.33745E-01  4.30764E-01  4.92509E-01
  5.42764E-01  5.79164E-01  5.99418E-01  6.14473E-01  6.17455E-01  6.17491E-01
  6.17491E-01  6.20073E-01  6.19418E-01  6.07782E-01  6.00655E-01  5.94473E-01
  5.87818E-01  5.85345E-01  5.78291E-01  5.77527E-01  5.72291E-01  5.63745E-01
  5.44764E-01  5.24436E-01  4.93293E-01  4.69773E-01  4.41556E-01  4.04936E-01
  3.29569E-01  2.88263E-01  2.54449E-01  2.18355E-01  1.94214E-01  1.72382E-01
  1.49447E-01  1.30872E-01  1.13368E-01  9.60228E-02  8.11432E-02  6.79105E-02
  5.57326E-02  4.53876E-02  3.64092E-02  2.86662E-02  2.19351E-02  1.73491E-02
 rn:  h -> w
  6.80000E-03  7.56800E-02  2.10545E-01  3.25273E-01  4.16400E-01  4.82764E-01
  5.32836E-01  5.66691E-01  5.90727E-01  6.09418E-01  6.17418E-01  6.23818E-01
  6.32036E-01  6.32909E-01  6.30436E-01  6.27055E-01  6.22982E-01  6.21127E-01
