$ ION e  He [+0] (G)  e  He [+1] (G) e
& RC GOTO CODE 2.3.9A #INTERP2D
 65 1.0e+00 1.0e+04  2
 30 1.0e+08 1.0e+16  2
 1.4295065956783e-11    3.5561126615261e-11     7.8387245295701e-11
 1.5588664516220e-10    2.8405588076984e-10     4.8060479112475e-10
 7.6355890740703e-10    1.1499258909070e-09     1.6545789333361e-09
 2.2893613038598e-09    3.0623373714778e-09     3.9771251491261e-09
 5.0323112395367e-09    6.2210198925686e-09     7.5307443352636e-09
 8.9435366529380e-09    1.0436601678542e-08     1.1983272561142e-08
 1.3554281167496e-08    1.5119200839767e-08     1.6647911584547e-08
 1.8111963415826e-08    1.9485728971956e-08     2.0747279881722e-08
 2.1878957855335e-08    2.2867645256995e-08     2.3704765726719e-08
 2.4386061404499e-08    2.4911201697236e-08     2.5283278809889e-08
 2.5508241086756e-08    2.5594307548611e-08     2.5551397924669e-08
 2.5390603180192e-08    2.5123712938416e-08     2.4762808813943e-08
 2.4319926747929e-08    2.3806786980164e-08     2.3234587188743e-08
 2.2613852377668e-08    2.1954334071590e-08     2.1264951061696e-08
 2.0553764133828e-08    1.9827977740669e-08     1.9093962299128e-08
 1.8357291621220e-08    1.7622790829057e-08     1.6894590918615e-08
 1.6176186889190e-08    1.5470497025565e-08     1.4779921501408e-08
 1.4106398964228e-08    1.3451460168761e-08     1.2816278054200e-08
 1.2201713920459e-08    1.1608359558628e-08
 2.2315314200047e-19    6.0213089014721e-18     1.0590052391048e-16
 1.2799652488013e-15    1.1142562977005e-14     7.2756691402059e-14
 3.6936210078845e-13    1.5055500236280e-12     5.0722598711255e-12
 1.4498151314451e-11    3.5987390048600e-11     7.9184820345349e-11
 1.5724156331219e-10    2.8617775522606e-10     4.8370682162735e-10
 7.6783636434381e-10    1.1555371882514e-09     1.6616323532714e-09
 2.2979088593454e-09    3.0723756819832e-09     3.9886019573974e-09
 5.0451355222809e-09    6.2350734216006e-09     7.5458928851675e-09
 8.9596396225655e-09    1.0453519505630e-08     1.2000871827930e-08
 1.3572437654099e-08    1.5137800971488e-08     1.6666852766147e-08
 1.8131153694785e-08    1.9505086367920e-08     2.0766731601236e-08
 2.1898439504262e-08    2.2887100084495e-08     2.3724143888105e-08
 2.4405319213668e-08    2.4930300844987e-08     2.5302185543316e-08
 2.5526925367834e-08    2.5612742229513e-08     2.5569557988525e-08
 2.5408465096876e-08    2.5141254176123e-08     2.4780007531422e-08
 2.4336761672862e-08    2.3823237460030e-08     2.3250633384691e-08
 2.2629475561272e-08    2.1969516979720e-08     2.1279678265809e-08
 2.0568022385139e-08    1.9841756261182e-08     1.9107252998028e-08
 1.8370089225787e-08    1.7635092927828e-08     1.6906397921401e-08
 1.6187501913554e-08    1.5481325722419e-08     1.4790271833786e-08
 1.4116280953338e-08    1.3460885620499e-08     1.2825260277701e-08
 1.2210267448405e-08    1.1616499877019e-08
 2.3812013759037e-19    6.3569659878497e-18     1.1083577732119e-16
 1.3300175103422e-15    1.1508799360385e-14     7.4767095687220e-14
 3.7793907663870e-13    1.5349325263913e-12     5.1555708773421e-12
 1.4699168054883e-11    3.6410513754998e-11     7.9978777722483e-11
 1.5859422685806e-10    2.8830238489124e-10     4.8682250227100e-10
 7.7214667401148e-10    1.1612111217310e-09     1.6687905466998e-09
 2.3066166617362e-09    3.0826430675270e-09     4.0003890498929e-09
 5.0583618173417e-09    6.2496286596319e-09     7.5616478204649e-09
 8.9764554605005e-09    1.0471255358394e-08     1.2019390039063e-08
 1.3591607195593e-08    1.5157499311421e-08     1.6686966661707e-08
 1.8151579326294e-08    1.9525729134814e-08     2.0787505790140e-08
 2.1919267936814e-08    2.2907913775185e-08     2.3744881694829e-08
 2.4425927444862e-08    2.4950732789734e-08     2.5322400907553e-08
 2.5546889621318e-08    2.5632425888455e-08     2.5588935872932e-08
 2.5427515607589e-08    2.5159958634348e-08     2.4798349614753e-08
 2.4354726968992e-08    2.3840813145191e-08     2.3267808020823e-08
 2.2646238995559e-08    2.1985860323532e-08     2.1295593927344e-08
 2.0583504130419e-08    1.9856799281233e-08     1.9121853964665e-08
 1.8384246323717e-08    1.7648805856011e-08     1.6919667861230e-08
 1.6200331465135e-08    1.5493718812868e-08     1.4802233603170e-08
 1.4127817624648e-08    1.3472004360131e-08     1.2835969052478e-08
 1.2220574884405e-08    1.1626415124514e-08
 2.5322007805200e-19    6.6957446880478e-18     1.1582653663590e-16
 1.3807542149500e-15    1.1880848399948e-14     7.6812352625036e-14
 3.8666862994526e-13    1.5648188280829e-12     5.2401722814667e-12
 1.4902803963536e-11    3.6837898226896e-11     8.0778256739716e-11
 1.5995233884235e-10    2.9043040492638e-10     4.8993787691713e-10
 7.7645317866028e-10    1.1668813164089e-09     1.6759530851204e-09
 2.3153496569216e-09    3.0929734107162e-09     4.0122965932670e-09
 5.0717868001301e-09    6.2644806738587e-09     7.5778148642617e-09
 8.9938120586734e-09    1.0489669197644e-08     1.2038726967654e-08
 1.3611734722707e-08    1.5178288900652e-08     1.6708295162698e-08
 1.8173329861970e-08    1.9547791688328e-08     2.0809777648969e-08
 2.1941654069824e-08    2.2930327156643e-08     2.3767243551554e-08
 2.4448167388842e-08    2.4972788802011e-08     2.5344219155217e-08
 2.5568424109115e-08    2.5653637965495e-08     2.5609793628954e-08
 2.5447993200602e-08    2.5180035592143e-08     2.4818010147979e-08
 2.4373959325095e-08    2.3859609022412e-08     2.3286162051600e-08
 2.2664148300166e-08    2.2003324128475e-08     2.1312613239306e-08
 2.0600081454743e-08    1.9872938374311e-08     1.9137559611027e-08
 1.8399524130864e-08    1.7663662062516e-08     1.6934109155999e-08
 1.6214364817685e-08    1.5507351316017e-08     1.4815472330442e-08
 1.4140669505125e-08    1.3484476073473e-08     1.2848066946387e-08
 1.2232304916162e-08    1.1637782827328e-08
 2.6947686419359e-19    7.0612648336987e-18     1.2121724315182e-16
 1.4355337123355e-15    1.2281663069595e-14     7.9006735279449e-14
 3.9597873403760e-13    1.5964466992726e-12     5.3288800259678e-12
 1.5114122726044e-11    3.7276549402290e-11     8.1589726560163e-11
 1.6131614358013e-10    2.9254659838431e-10     4.9301013105802e-10
 7.8067198195953e-10    1.1724100209817e-09     1.6829183403845e-09
 2.3238366267798e-09    3.1030252975865e-09     4.0239174650122e-09
 5.0849465238796e-09    6.2791208342248e-09     7.5938547810755e-09
 9.0111543205503e-09    1.0508204414077e-08     1.2058337668120e-08
 1.3632298479564e-08    1.5199680828211e-08     1.6730389961042e-08
 1.8196003554522e-08    1.9570923157901e-08     2.0833250030279e-08
 2.1965356013307e-08    2.2954153947882e-08     2.3791098054477e-08
 2.4471960779590e-08    2.4996441068243e-08     2.5367659352052e-08
 2.5591590379522e-08    2.5676477348573e-08     2.5632261690682e-08
 2.5470053527478e-08    2.5201659188919e-08     2.4839174777291e-08
 2.4394648820767e-08    2.3879812600904e-08     2.3305873638808e-08
