$ ION e  He [+0] (G)  e  He [+1] (G) e                                     
& RC FUJIMOTO CODE 2.3.9A #INTERP2D                                        
 65 1.0E+00 1.0E+04  2
 30 1.0E+08 1.0E+16  2
 1.7440058286411E-08    1.6749481801526E-08     1.6068090857857E-08
 1.5398310182491E-08    1.4742155052261E-08     1.4101214418361E-08
 1.3476819660241E-08    1.2869982413122E-08     1.2281448746876E-08
 1.1711763114874E-08    1.1161288782091E-08
 6.1044797002950E-19    1.4580618358882E-17     2.2767477998587E-16
 2.4595177104811E-15    1.9310101477890E-14     1.1504202267459E-13
 5.4011200893711E-13    2.0653084277511E-12     6.6193123031411E-12
 1.8227161099893E-11    4.4054100645230E-11     9.5192374816033E-11
 1.8682697056072E-10    3.3760819140305E-10     5.6832033523690E-10
 9.0014534714911E-10    1.3528540510066E-09     1.9431565245753E-09
 2.6833251176583E-09    3.5800937769892E-09     4.6338270998092E-09
 5.8379931999752E-09    7.1790178246545E-09     8.6365448126458E-09
 1.0184259657819E-08    1.1791144949314E-08     1.3423123057521E-08
 1.5044987478063E-08    1.6622250242904E-08     1.8122976896962E-08
 1.9519161398307E-08    2.0787815913081E-08     2.1911397141139E-08
 2.2878129612991E-08    2.3681602456804E-08     2.4320419456103E-08
 2.4797369491125E-08    2.5118698232518E-08     2.5293369176893E-08
 2.5332209219187E-08    2.5247302914977E-08     2.5051370755591E-08
 2.4757268235476E-08    2.4377680318821E-08     2.3924764391836E-08
 2.3410017035985E-08    2.2844091063234E-08     2.2236790186980E-08
 2.1596926913503E-08    2.0932480637725E-08     2.0250473298233E-08
 1.9557154118388E-08    1.8857924999338E-08     1.8157498615778E-08
 1.7459923284946E-08    1.6768618493757E-08     1.6086520560066E-08
 1.5416050658246E-08    1.4759201860670E-08     1.4117601310204E-08
 1.3492551076411E-08    1.2885069011759E-08     1.2295902962478E-08
 1.1725603599189E-08    1.1174526193258E-08
 6.3452978260033E-19    1.5063397360315E-17     2.3400643067594E-16
 2.5167347860681E-15    1.9686028252409E-14     1.1691536139832E-13
 5.4748463792012E-13    2.0890459501155E-12     6.6837199837189E-12
 1.8378529600960E-11    4.4368789892113E-11     9.5782298759062E-11
 1.8784064581556E-10    3.3922492592708E-10     5.7074039938598E-10
 9.0357843429700E-10    1.3575044421898E-09     1.9492132352639E-09
 2.6909527939267E-09    3.5894196503961E-09     4.6449457613562E-09
 5.8509694866871E-09    7.1938730528132E-09     8.6532629950398E-09
 1.0202814593185E-08    1.1811452260702E-08     1.3445093927089E-08
 1.5068495784476E-08    1.6647174305717E-08     1.8149162173131E-08
 1.9546449792074E-08    2.0816033341475E-08     2.1940367744833E-08
 2.2907693519869E-08    2.3711622887390E-08     2.4350704563858E-08
 2.4827766509361E-08    2.5149105908895E-08     2.5323648955577E-08
 2.5362274058693E-08    2.5277040904825E-08     2.5080703736080E-08
 2.4786126928689E-08    2.4406000775912E-08     2.3952511085668E-08
 2.3437149110350E-08    2.2870599636349E-08     2.2262621968139E-08
 2.1622080126349E-08    2.0956953505902E-08     2.0274267598097E-08
 1.9580252086371E-08    1.8880333740867E-08     1.8179212801783E-08
 1.7480944691783E-08    1.6788968437709E-08     1.6106199041133E-08
 1.5435039912859E-08    1.4777525869647E-08     1.4135269843507E-08
 1.3509561469505E-08    1.2901423041001E-08     1.2311614838723E-08
 1.1740681316041E-08    1.1188977744325E-08
 6.5596849462012E-19    1.5495897015395E-17     2.3971890028156E-16
 2.5689795664965E-15    2.0032984806065E-14     1.1866344766607E-13
 5.5443778908260E-13    2.1116253277192E-12     6.7454492512498E-12
 1.8524433723077E-11    4.4673799382000E-11     9.6356138346021E-11
 1.8882938268572E-10    3.4080488431343E-10     5.7310917123132E-10
 9.0694263210622E-10    1.3620684580218E-09     1.9551633645420E-09
 2.6984545709041E-09    3.5986091884155E-09     4.6559294197834E-09
 5.8638134348143E-09    7.2086154823126E-09     8.6699163404091E-09
 1.0221341995020E-08    1.1831810198260E-08     1.3467202464312E-08
 1.5092242122705E-08    1.6672437652687E-08     1.8175811078436E-08
 1.9574320830884E-08    2.0844950654464E-08     2.1970192776166E-08
 2.2938230870295E-08    2.3742689592154E-08     2.4382153185343E-08
 2.4859444280878E-08    2.5180851181972E-08     2.5355330279808E-08
 2.5393768865456E-08    2.5308247941780E-08     2.5111523527244E-08
 2.4816504406999E-08    2.4435857781668E-08     2.3981783670024E-08
 2.3465803522527E-08    2.2898607454636E-08     2.2289945889042E-08
 2.1648716597156E-08    2.0982852788620E-08     2.0299435021798E-08
 1.9604684098340E-08    1.8904010801180E-08     1.8202154450364E-08
 1.7503145599562E-08    1.6810421499258E-08     1.6126891821955E-08
 1.5455011492804E-08    1.4796752267898E-08     1.4153761718205E-08
 1.3527327702434E-08    1.2918475178481E-08     1.2327951104396E-08
 1.1756319473477E-08    1.1203923122594E-08
 6.7673196876612E-19    1.5921904957027E-17     2.4542774352737E-16
 2.6219583009737E-15    2.0388930073358E-14     1.2047704685009E-13
 5.6171218934878E-13    2.1354211801605E-12     6.8108695766567E-12
 1.8679601268556E-11    4.4998435533294E-11     9.6967558982364E-11
 1.8988130512376E-10    3.4248229252576E-10     5.7561722055510E-10
 9.1049284778322E-10    1.3668651765997E-09     1.9613943802455E-09
 2.7062823093615E-09    3.6081653220776E-09     4.6673118703211E-09
 5.8770948108133E-09    7.2238304227312E-09     8.6870688420504E-09
 1.0240420067475E-08    1.1852762327180E-08     1.3489954930890E-08
 1.5116713214525E-08    1.6698500360235E-08     1.8203346385803E-08
 1.9603168865956E-08    2.0874962203266E-08     2.2001195532084E-08
 2.2970045421289E-08    2.3775140078897E-08     2.4415086841145E-08
 2.4892688799127E-08    2.5214243137839E-08     2.5388739999244E-08
 2.5427066674411E-08    2.5341309495275E-08     2.5144245796582E-08
 2.4848784363485E-08    2.4467620818314E-08     2.4012972943410E-08
 2.3496344425666E-08    2.2928443144110E-08     2.2319063930354E-08
 2.1677077910454E-08    2.1010430728552E-08     2.0326208272081E-08
 1.9630624237266E-08    1.8929112499677E-08     1.8226399944865E-08
 1.7526541995494E-08    1.6832963467550E-08     1.6148597126175E-08
 1.5475851711244E-08    1.4816755822267E-08     1.4172923279432E-08
 1.3545661481373E-08    1.2935988280560E-08     1.2344666622255E-08
 1.1772247177078E-08    1.1219086104575E-08
 6.9945482698810E-19    1.6393161332527E-17     2.5182848034220E-16
 2.6818615297947E-15    2.0795309376397E-14     1.2256042263969E-13
 5.7011101568805E-13    2.1629928750877E-12     6.8868352860740E-12
 1.8859913630820E-11    4.5375678908721E-11     9.7676554344783E-11
 1.9109801241424E-10    3.4441566265642E-10     5.7849453005687E-10
 9.1454438466698E-10    1.3723083780448E-09     1.9684223140359E-09
 2.7150530712561E-09    3.6188034790996E-09     4.6799026875988E-09
 5.8916866940706E-09    7.2404380269120E-09     8.7056921671547E-09
 1.0261007155066E-08    1.1875255445659E-08     1.3514266150594E-08
 1.5142735065865E-08    1.6726120932731E-08     1.8232404030982E-08
 1.9633551673337E-08    2.0906472997240E-08     2.2033669111465E-08
 2.3003341453887E-08    2.3809084481741E-08     2.4449494873124E-08
 2.4927414798981E-08    2.5249137891592E-08     2.5423650740208E-08
 2.5461854846753E-08    2.5375877399370E-08     2.5178467311093E-08
 2.4882549354288E-08    2.4500861783849E-08     2.4045622382118E-08
 2.3528338388701E-08    2.2959719458981E-08     2.2349562200930E-08
 2.1706767938667E-08    2.1039273434553E-08     2.0354182339588E-08
 1.9657719008137E-08    1.8955306657631E-08     1.8251677502690E-08
 1.7550890518692E-08    1.6856382956121E-08     1.6171082251049E-08
 1.5497418459631E-08    1.4837413075952E-08     1.4192679032021E-08
 1.3564523726473E-08    1.2953984551700E-08     1.2361812906647E-08
 1.1788565679183E-08    1.1234596364318E-08
 7.2698763707451E-19    1.6970184329870E-17     2.5970178393583E-16
 2.7559642071852E-15    2.1299277039354E-14     1.2515051386712E-13
 5.8056451356439E-13    2.1973132948577E-12     6.9813790165574E-12
 1.9084197763752E-11    4.5844293639075E-11     9.8555726080196E-11
 1.9260357198014E-10    3.4680167071421E-10     5.8203464270434E-10
 9.1951296576909E-10    1.3789579478285E-09     1.9769732517716E-09
 2.7256787937802E-09    3.6316298857031E-09     4.6950088261610E-09
 5.9090998760780E-09    7.2601475942236E-09     8.7276523785818E-09
 1.0285131857302E-08    1.1901432728223E-08     1.3542369892150E-08
 1.5172616940617E-08    1.6757608634066E-08     1.8265328805001E-08
 1.9667695028147E-08    2.0941671508012E-08     2.2069723826235E-08
 2.3040051644330E-08    2.3846263630389E-08     2.4486983107863E-08
 2.4965018496914E-08    2.5286734484098E-08     2.5461076802458E-08
 2.5499007350049E-08    2.5412628446020E-08     2.5214715648758E-08
 2.4918218599623E-08    2.4535877329868E-08     2.4079904292762E-08
 2.3561831596908E-08    2.2992383108544E-08     2.2381371422853E-08
 2.1737669442246E-08    2.1069260114359E-08     2.0383223997555E-08
 1.9685817420623E-08    1.8982435179282E-08     1.8277845015291E-08
 1.7576105904027E-08    1.6880642661476E-08     1.6194393381852E-08
 1.5519786344953E-08    1.4858851926647E-08     1.4213215493442E-08
 1.3584182667614E-08    1.2972780183418E-08     1.2379766545223E-08
 1.1805700417256E-08    1.1250942399954E-08
 7.6340431524094E-19    1.7732558650152E-17     2.7011187179714E-16
 2.8537842306154E-15    2.1963516888459E-14     1.2855696867285E-13
 5.9428411627524E-13    2.2422562938329E-12     7.1048163012566E-12
 1.9376264481785E-11    4.6453025454030E-11     9.9695092459218E-11
 1.9455047295391E-10    3.4988026365035E-10     5.8659405111072E-10
 9.2589952371824E-10    1.3874915660850E-09     1.9879284884894E-09
 2.7392741408505E-09    3.6480132248329E-09     4.7142680870138E-09
 5.9312639244524E-09    7.2851884524994E-09     8.7554790084710E-09
 1.0315627463342E-08    1.1934435661942E-08     1.3577683866117E-08
 1.5210012804800E-08    1.6796846580291E-08     1.8306140603386E-08
 1.9709826659664E-08    2.0984860071849E-08     2.2113683328939E-08
 2.3084544054086E-08    2.3891043809954E-08     2.4531805919992E-08
 2.5009684989641E-08    2.5331056363598E-08     2.5504904854756E-08
 2.5542185255745E-08    2.5455031860133E-08     2.5256255753447E-08
 2.4958811906117E-08    2.4575452783893E-08     2.4118429919895E-08
 2.3599257659157E-08    2.3028688289628E-08     2.2416509537493E-08
 2.1771670688508E-08    2.1102133374029E-08     2.0414946177993E-08
 1.9716388521829E-08    1.9011906715605E-08     1.8306215210373E-08
 1.7603388968723E-08    1.6906867017497E-08     1.6219582121835E-08
 1.5543978548749E-08    1.4882068910538E-08     1.4235481238245E-08
 1.3605536253181E-08    1.2993238485137E-08     1.2399366866589E-08
 1.1824477397226E-08    1.1268912913920E-08
 8.1472621935891E-19    1.8802606107996E-17     2.8465786272122E-16
 2.9897311128256E-15    2.2881521032298E-14     1.3323435237023E-13
 6.1300481834711E-13    2.3032053694805E-12     7.2713233004174E-12
 1.9768126371944E-11    4.7265719116396E-11     1.0120947135928E-10
 1.9712735610522E-10    3.5394118191867E-10     5.9258992157751E-10
 9.3427610092789E-10    1.3986614089134E-09     2.0022434821243E-09
 2.7570130622934E-09    3.6693770244511E-09     4.7393724500466E-09
 5.9601505952855E-09    7.3178201276392E-09     8.7917664259862E-09
 1.0355407198404E-08    1.1977491887194E-08     1.3623768779780E-08
 1.5258819985320E-08    1.6848041184403E-08     1.8359392228717E-08
 1.9764748060425E-08    2.1041094200314E-08     2.2170850044745E-08
 2.3142266769582E-08    2.3948995675482E-08     2.4589661862251E-08
 2.5067189213246E-08    2.5387905111529E-08     2.5560895622334E-08
 2.5597110209219E-08    2.5508766654525E-08     2.5308649398426E-08
 2.5009761372985E-08    2.4624876360235E-08     2.4166272538650E-08
 2.3645503333114E-08    2.3073321031575E-08     2.2459547110998E-08
 2.1813081119149E-08    2.1141952188941E-08     2.0453217786098E-08
 1.9753152002977E-08    1.9047172727937E-08     1.8340038820952E-08
 1.7635818139183E-08    1.6937955038543E-08     1.6249376955102E-08
 1.5572524603158E-08    1.4909415924080E-08     1.4261674508020E-08
 1.3630611306326E-08    1.3017254829606E-08     1.2422352924091E-08
 1.1846471359434E-08    1.1289968071537E-08
 8.9080217539178E-19    2.0377139440907E-17     3.0584967414946E-16
 3.1858886968166E-15    2.4191897942359E-14     1.3984255105900E-13
 6.3918087402776E-13    2.3876018349911E-12     7.4997447488401E-12
 2.0301179140536E-11    4.8362883142694E-11     1.0323971538773E-10
 2.0056088734233E-10    3.5932148922946E-10     6.0049504257975E-10
 9.4527474736594E-10    1.4132748304974E-09     2.0209176554431E-09
 2.7801005941797E-09    3.6971341543790E-09     4.7719521667489E-09
 5.9976188460098E-09    7.3601453820515E-09     8.8388381058735E-09
 1.0407038786298E-08    1.2033446239457E-08     1.3683711941326E-08
 1.5322408231100E-08    1.6914862399631E-08     1.8428982784258E-08
 1.9836658537997E-08    2.1114800574651E-08     2.2245895792139E-08
 2.3218177602757E-08    2.4025288425378E-08     2.4665933295864E-08
 2.5142982806869E-08    2.5462910002716E-08     2.5634781408712E-08
 2.5669592673694E-08    2.5579620199778E-08     2.5377696388773E-08
 2.5076865028950E-08    2.4689933653121E-08     2.4229194650616E-08
 2.3706219209885E-08    2.3131820015010E-08     2.2515813213886E-08
 2.1867171184908E-08    2.1193857335788E-08     2.0502985975668E-08
 1.9800825867833E-08    1.9092826875067E-08     1.8383728317417E-08
 1.7677603381117E-08    1.6977899974790E-08     1.6287556192651E-08
 1.5609002090855E-08    1.4944250281701E-08     1.4294941230730E-08
 1.3662364573008E-08    1.3047556812751E-08     1.2451274677971E-08
 1.1874054628436E-08    1.1316252823690E-08
 1.0081819994452E-18    2.2772719014948E-17     3.3763492960231E-16
 3.4755470714815E-15    2.6097257899626E-14     1.4930382776467E-13
 6.7610961317424E-13    2.5050341575378E-12     7.8136152062425E-12
 2.1025212820769E-11    4.9837901167082E-11     1.0594438520917E-10
 2.0509796638812E-10    3.6638100886499E-10     6.1080263069613E-10
 9.5953933687554E-10    1.4321418495555E-09     2.0449373305809E-09
 2.8097082438450E-09    3.7326457480447E-09     4.8135664343363E-09
 6.0454157235768E-09    7.4141133232786E-09     8.8988496571574E-09
 1.0472893663405E-08    1.2104854896222E-08     1.3760298678278E-08
 1.5403724518137E-08    1.7000431284941E-08     1.8518253597222E-08
 1.9929046857214E-08    2.1209716649651E-08     2.2342712568957E-08
 2.3316282238284E-08    2.4124080511001E-08     2.4764847950109E-08
 2.5241526202535E-08    2.5560586536244E-08     2.5731150543606E-08
 2.5764311573084E-08    2.5672372672148E-08     2.5468196440670E-08
 2.5164911932052E-08    2.4775360429885E-08     2.4311882285133E-08
 2.3786121516878E-08    2.3208853505707E-08     2.2589983217358E-08
 2.1938445726732E-08    2.1262279048528E-08     2.0568586833747E-08
 1.9863678701881E-08    1.9152992081217E-08     1.8441264515445E-08
 1.7732590507080E-08    1.7030421517461E-08     1.6337686759016E-08
 1.5656834051470E-08    1.4989863572623E-08     1.4338413123482E-08
 1.3703778556362E-08    1.3086983052801E-08     1.2488779788100E-08
 1.1909722985592E-08    1.1350150153078E-08
 1.1941154507397E-18    2.6497690329926E-17     3.8607751147939E-16
 3.9077233982031E-15    2.8878609166548E-14     1.6282157913605E-13
 7.2780870956704E-13    2.6663729817827E-12     8.2375183063643E-12
 2.1988437112763E-11    5.1774015630279E-11     1.0945393896789E-10
 2.1092787239052E-10    3.7537814523425E-10     6.2385263621678E-10
 9.7750285643627E-10    1.4558056982139E-09     2.0749721940660E-09
 2.8466551338369E-09    3.7769023464307E-09     4.8653934214826E-09
 6.1049405530866E-09    7.4813346628844E-09     8.9736547081998E-09
 1.0555050167227E-08    1.2194024456846E-08     1.3856066516382E-08
 1.5505582595665E-08    1.7107762317892E-08     1.8630407438991E-08
 2.0045304083283E-08    2.1329336519216E-08     2.2464934801292E-08
 2.3440339447234E-08    2.4249237284835E-08     2.4890393746091E-08
 2.5366773570568E-08    2.5684935067716E-08     2.5854062002395E-08
 2.5885293908345E-08    2.5790994229169E-08     2.5584132146150E-08
 2.5277859805328E-08    2.4885100202710E-08     2.4418245203606E-08
 2.3888972577879E-08    2.3308130536748E-08     2.2685641809517E-08
 2.2030471669154E-08    2.1350688328425E-08     2.0653418530969E-08
 1.9944984330778E-08    1.9230821379779E-08     1.8515725841439E-08
 1.7803756691137E-08    1.7098392035564E-08     1.6402553981720E-08
 1.5718683243904E-08    1.5048799539841E-08     1.4394529124218E-08
 1.3757169625706E-08    1.3137750443093E-08     1.2537011429004E-08
 1.1955506806771E-08    1.1393582965979E-08
 1.4955124588011E-18    3.2379382890902E-17     4.6037617111811E-16
 4.5505422075886E-15    3.2888361494897E-14     1.8172313968282E-13
 7.9803974843348E-13    2.8798259350121E-12     8.7853092856083E-12
 2.3208053534507E-11    5.4183740827440E-11     1.1376073000280E-10
 2.1800299065955E-10    3.8620703857184E-10     6.3946919981461E-10
 9.9892683014247E-10    1.4839829365343E-09     2.1107413594734E-09
 2.8907138904799E-09    3.8297991444836E-09     4.9275215019406E-09
 6.1765272896253E-09    7.5624546624908E-09     9.0642400252250E-09
 1.0654873427995E-08    1.2302728613633E-08     1.3973158630165E-08
 1.5630444494263E-08    1.7239695893068E-08     1.8768597342955E-08
